ID;Сорт;Селекционная линия;Год;Патент;Ссылка на патент;Селекционер;Родители;Высота (см);Ширина листа (см);Форма листа;Окрас;Устойчивость к солнцу;Историческая справка;Особенности;Ссылка на изображение;CaladiumHome;Visibility
278;Tiny Tim;;;;;;;15-20;6-8;Сердцевидная;Зелёный;Тень;Самый маленький сорт 1980-х;Миниатюрный;./img/Tiny Tim.jpg;0;0
279;Tiny Treasure;;;;;;;15-20;6-8;Сердцевидная;Зелёный;Тень;Мини;Для бонсай;./img/Tiny Treasure.jpg;0;0
280;UF 75-14;Флорида, США;2001;PP21089;https://patents.google.com/patent/USPP21089P2/en?oq=PP21089; Zhanao Deng (Ellenton, FL), Brent Harbaugh (Bradenton, FL); Gingerland (не запатентован) х Florida Moonlight (патент США на растение № 14 565);50-70;15-25;Сердцевидная;Белый центр, зелёные края, пурпурные пятна;Высокая;Выведен в Университете Флориды, отличается высокой урожайностью клубней;Крупные листья с контрастным рисунком. Родительство: Женский родитель. — Каладиум 'Gingerland' (незапатентованный). Мужской родитель. — Каладиум «Florida Moonlight» (патент США № 14,565). Время развития корней и прорастания — 37 дней (Весна — 15° C ночью, 29° C днем). 18 дней (Лето — 21° C ночью, 35° C днем). Высота растения. — Около 40 см от поверхности почвы до верхней плоскости листьев через 4 месяца после посадки клубней в грунт на открытом солнце. Диаметр растения. — Около 40–75 см через 4 месяца после посадки клубней в грунт на открытом солнце. Листовая пластинка.— Петлатная, стреловидно-сердцевидная, с зелено-белым (RHS 157A) пальчато-перистым жилкованием. Верхняя поверхность имеет темно-зеленые (RHS 141A) края, шириной 2–3 мм, окаймляющие весь лист, за исключением базальной листовой долины, где она серо-фиолетовая (RHS 185A). Межжилковые области зелено-белые (RHS 157A) около центральной главной жилки и меняются на темно-зеленые (RHS 141A) около края. Листья имеют небольшое красно-фиолетовое пятно (диаметром 1–3 мм) у прикрепления черешка и многочисленные (диаметром от 1 до 40 мм) серо-фиолетовые (RHS 185B) пятна. Сетчатое зелено-белое (RHS 157D) жилкование встречается на поверхности листа. Нижняя поверхность имеет серо-зеленый (RHS 191B) край, шириной 2–3 мм. Первичные жилки серо-зеленые (RHS 194B), а сетчатое жилкование серо-зеленое (RHS 191A). Межжилковые области зелено-белые (RHS 157A) около центральной главной и крупных жилок и меняются на серо-зеленые (RHS 191A) около края. Серо-фиолетовые пятна (RHS 186A) многочисленные и разбросаны между первичными жилками. Листья гладкие и мягкие как на верхней, так и на нижней поверхности. Черешок.— 3–6 мм и светло-зеленый (RHS 138D) на верхушке, но цвета размываются в темно-коричневый (RHS 200B) у основания, которое составляет около 5–9 мм в диаметре. Длина 15–30 см, без крыльев на черешке. Клубень.— Клубни большого размера (>6,4 см и <8,9 см в диаметре), многосегментные, с 5–6 доминирующими почками. Поверхности клубней коричневые (RHS 200C) с корковой зоной желто-оранжевого цвета (RHS 15C).;./img/UF 75-14.jpg;0;0
281;UF-172;University of Florida;2014;20140047600;https://patents.justia.com/patent/20140047600;Zhanao Deng, Brent K. Harbaugh;Не указаны;60-80;20-30;Фэнси;Розовые пятна на зелёном;Очень высокая;Высокая урожайность клубней;Яркие акценты;./img/UF-172.jpg;0;0
282;UF-331;University of Florida;2011;PP22055;https://patents.justia.com/patent/PP22055;Zhanao Deng, Brent Harbaugh;Не указаны;50-70;15-25;Ланцетная;Бело-пурпурный с зелёными прожилками;Высокая;Солнцеустойчивый сорт;Контрастный рисунок;./img/UF-331.jpg;0;0
283;UF-340;University of Florida;2010;PP21347;https://patents.justia.com/patent/PP21347;Zhanao Deng, Brent Harbaugh;Не указаны;60-80;25-35;Ланцетная;Белый центр, зелёные края;Высокая;Классический сорт UF;Многочисленные листья;./img/UF-340.jpg;0;0
284;UF-4412;University of Florida;2015;PP25612;https://patents.justia.com/patent/PP25612;Zhanao Deng, Brent K. Harbaugh;Не указаны;50-70;20-30;Сердцевидная;Красный с сетчатым рисунком;Высокая;Плотные листья;Устойчивость к болезням;./img/UF-4412.jpg;0;0
285;UF-4424;University of Florida;2015;PP25598;https://patents.justia.com/patent/PP25598;Zhanao Deng, Brent K. Harbaugh;Не указаны;50-70;20-30;Ланцетная;Ярко-красный центр, зелёные края;Очень высокая;Устойчив к солнечным ожогам;Волнистые края листьев;./img/UF-4424.jpg;0;0
286;UF-48-5;University of Florida;2012;20120266343;https://patents.justia.com/patent/20120266343;Zhanao Deng, Brent K. Harbaugh;Не указаны;60-80;20-30;Сердцевидная;Розовый с белым фоном;Высокая;Раннее прорастание;Нежные оттенки;./img/UF-48-5.jpg;0;0
287;UF-85-5;University of Florida;2014;PP24681;https://patents.justia.com/patent/PP24681;Zhanao Deng, Brent K. Harbaugh;Не указаны;50-70;15-25;Фэнси;Бело-зелёный с красными пятнами;Очень высокая;Устойчив к ожогам;Яркие акценты;./img/UF-85-5.jpg;0;0
288;Va Va Violet;Heart to Heart;;;;;;;;;;;;;./img/Va Va Violet.jpg;0;1
289;Venus Blush;;;;;;;40-45;14-16;Сердцевидная;Розовый с серебристыми пятнами;Тень;Награждён золотой медалью на выставке в Париже (1935);Ароматные листья;./img/Venus Blush.jpg;0;0
290;Victoria;-;2007;PP18087;https://patents.justia.com/patent/PP18087;Robert Dale Hartman;Не указаны;40-60;15-25;Ремневидная;Красный, розовый, зелёный;Средняя;Компактный сорт;Сильно текстурированные листья;./img/Victoria.jpg;0;0
291;Vietnamese Stripe;;;;;;;50-55;8-10;Ланцетная;Полосатый;Тень;Обнаружен в джунглях Вьетнама;Редкий;./img/Vietnamese Stripe.jpg;0;0
292;Water's Edge;Classic Caladiums;2017;PP27965;https://patents.justia.com/patent/PP27965;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Белые прожилки, серо-зелёный фон;Средняя;Назван за сходство с водной гладью;Утончённый рисунок;./img/Water's Edge.jpg;0;1
293;White Angel;;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Ангельский;Для храмов;./img/White Angel.jpg;0;0
294;White Cap;Classic Caladiums;2013;PP23815;https://patents.justia.com/patent/PP23815;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Белый с зелёными крапинками;Высокая;Назван за белую 'шапочку';Пёстрая окраска;./img/White Cap.jpg;0;1
295;White Christmas;Classic Caladiums;;;;;;50-55;20-22;Сердцевидная;Белый/зелёный;Тень;Патент продан Classic Caladiums;Устойчив к холоду;./img/White Christmas.jpg;0;1
296;White Cloud;;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Облачный узор;Нежный;./img/White Cloud.jpg;0;0
297;White Crane;;;;;;;45-50;15-17;Сердцевидная;Белый с зелёными кончиками;Тень;Создан для храмовых садов Киото;Символ долголетия в Японии;./img/White Crane.jpg;0;0
298;White Delight;Classic Caladiums;2010;PP21216;https://patents.justia.com/patent/PP21216;Robert Dale Hartman;Не указаны;50-70;15-25;Ремневидная;Бело-серый с тёмно-зелёными краями;Средняя;Компактный сорт;Нежные прожилки;./img/White Delight.jpg;0;1
299;White Diamond;Classic Caladiums;2011;PP22215;https://patents.justia.com/patent/PP22215;Robert Dale Hartman;White Christmas ? неизв.;50-55;18-20;Ланцетная;Бело-серый центр, зелёные края;Полутень;Назван за алмазный блеск листьев;Компактный рост, подходит для горшков;./img/White Diamond.jpg;0;1
300;White Dynasty;Classic Caladiums;2011;PP22240;https://patents.justia.com/patent/PP22240;Robert Dale Hartman;Не указаны;70-90;25-35;Ланцетная;Бело-зелёный с редкими красными пятнами;Высокая;Крупнолистный сорт;Стабильный рост;./img/White Dynasty.jpg;0;1
301;White Feather;;;;;;;50-55;18-20;Сердцевидная;Белоснежный;Тень;Ажурные листья;Декоративный;./img/White Feather.jpg;0;0
302;White Frost;;;;;;;45-50;17-19;Сердцевидная;Белый;Полутень;Морозный узор;Зимняя коллекция;./img/White Frost.jpg;0;0
303;White Grace;;;;;;;50-55;18-20;Сердцевидная;Белая элегантность;Тень;Утонченный;Для ресторанов;./img/White Grace.jpg;0;0
304;White Lightning;;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Яркий;Контрастные жилки;./img/White Lightning.jpg;0;1
305;White Majesty;Classic Caladiums;2015;PP25422;https://patents.justia.com/patent/PP25422;Robert Dale Hartman;Не указаны;70-90;25-35;Ланцетная;Бело-серый центр, зелёные края;Высокая;Крупнолистный сорт;Королевский внешний вид;./img/White Majesty.jpg;0;1
306;White Marble;Classic Caladiums;2008;PP18819;https://patents.justia.com/patent/PP18819;Robert Dale Hartman;Не указаны;50-70;15-25;Ремневидная;Бело-зелёный мраморный;Средняя;Назван за рисунок;Волнистые края;./img/White Marble.jpg;0;1
307;White Miracle;;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Чудо;Люкс;./img/White Miracle.jpg;0;0
308;White Pearl;Classic Caladiums;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Жемчужный;Элитный;./img/White Pearl.jpg;0;1
309;White Queen;;;;;;;;;;;;;;./img/White Queen.jpg;1;1
310;White Silk;;;;;;;50-55;18-20;Сердцевидная;Шелковисто-белый;Тень;Бархатистая поверхность;Элитный;./img/White Silk.jpg;0;0
311;White Star;Heart to Heart;2010;PP21148;https://patents.justia.com/patent/PP21148;Robert Dale Hartman;Не указаны;60-80;20-30;Ремневидная;Бело-серый с розовыми прожилками;Средняя;Звёздчатый рисунок;Нежные переливы;./img/White Star.jpg;0;1
312;White Swan;;;;;;;50-55;18-20;Сердцевидная;Белый;Полутень;Изящные листья;Для водоемов;./img/White Swan.jpg;0;0
313;White Wings;;;;;;;50-55;18-20;Сердцевидная;Белый;Тень;Ажурные края листьев;Декоративный;./img/White Wings.jpg;0;1
314;White Wonder;Heart to Heart;2010;PP21044;https://patents.justia.com/patent/PP21044;Robert Dale Hartman;Не указаны;50-70;15-25;Ремневидная;Бело-серый с тёмно-зелёными краями;Средняя;Популярный белый сорт;Нежные прожилки;./img/White Wonder.jpg;0;1
315;Wildfire;;;;;;;;;;;;;;./img/Wildfire.jpg;1;1
316;Xplosion;Heart to Heart;;;;;;;;;;;;;./img/Xplosion.jpg;0;1
